Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
310,Willi Orban,DF,Hungary,31,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,0,7,2,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.24,0.20,0.24
311,Mikel Oyarzabal,FW,Spain,26,1997,7,1,201,2.2,1,1,2,1,0,0,0,0,1.0,1.0,0.6,1.6,4,9,22,0.45,0.45,0.90,0.45,0.90,0.52,0.33,0.85,0.52,0.85
312,Salih Özcan,MF,Türkiye,26,1998,4,2,155,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
313,João Palhinha,MF,Portugal,28,1995,4,4,299,3.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,0,23,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
314,Cole Palmer,"MF,FW",England,21,2002,5,0,149,1.7,1,1,2,1,0,0,0,0,0.2,0.2,0.1,0.3,6,16,17,0.60,0.60,1.21,0.60,1.21,0.17,0.14,0.31,0.17,0.31
315,Mario Pašalić,"FW,MF",Croatia,28,1995,3,1,116,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,5,7,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29
316,Strahinja Pavlović,DF,Serbia,22,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,8,13,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
317,Pedri,MF,Spain,21,2002,4,4,186,2.1,0,1,1,0,0,0,0,0,1.1,1.1,0.8,1.9,6,10,16,0.00,0.48,0.48,0.00,0.48,0.53,0.38,0.92,0.53,0.92
318,Peter Pekarík,DF,Slovakia,37,1986,4,4,377,4.2,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,7,10,9,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.22,0.16,0.22
319,Lorenzo Pellegrini,"FW,MF",Italy,27,1996,4,3,218,2.4,0,1,1,0,0,0,1,0,0.5,0.5,0.5,1.0,10,8,14,0.00,0.41,0.41,0.00,0.41,0.22,0.19,0.41,0.22,0.41
