right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
544,Ferrán Torres,https://fbref.com/en/players/9e1035f8/Ferran-Torres,"FW,MF",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,24-133,2000,2.6,3.00,0,5,155,https://fbref.com/en/players/9e1035f8/matchlogs/2024/summary/Ferran-Torres-Match-Logs,31,27.2,1.7,1,71,,4,21,1,-1.37,-0.55,+1,2,+0.31,+0.4,+0.58,1,,2.2,,,
545,Cenk Tosun,https://fbref.com/en/players/9a104dee/Cenk-Tosun,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,33-034,1991,0,,0,2,25,https://fbref.com/en/players/9a104dee/matchlogs/2024/summary/Cenk-Tosun-Match-Logs,13,0.3,3,2,1,0,1.1,0.3,,+3.24,+2.74,+1,,5.6,13,+0.8,,,,+3.81,1.50,+3.60
546,Gernot Trauner,https://fbref.com/en/players/9d21da85/Gernot-Trauner,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,32-108,1992,32,0.8,0,2,90,https://fbref.com/en/players/9d21da85/matchlogs/2024/summary/Gernot-Trauner-Match-Logs,45,1.0,1,1,1,0,1,1,2.2,-1.4,,,,25.0,58,,-0.33,,-1.37,-2.05,1.50,
547,Kieran Trippier,https://fbref.com/en/players/21512407/Kieran-Trippier,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,33-296,1990,0,3.9,0,6,450,https://fbref.com/en/players/21512407/matchlogs/2024/summary/Kieran-Trippier-Match-Logs,75,75.0,5.0,6,75,,2.00,2,3,-1,-0.20,+0.4,4,-2.60,+0.20,+0.08,3.5,,,,,
548,Leandro Trossard,https://fbref.com/en/players/38ceb24a/Leandro-Trossard,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,29-220,1994,3.0,1.33,0,3,169,https://fbref.com/en/players/38ceb24a/matchlogs/2024/summary/Leandro-Trossard-Match-Logs,56,46.9,1.9,2,67,0,1,35,1,,,+1.7,1,,+1.20,+0.91,1,0.00,1.2,,,
549,Anatolii Trubin,https://fbref.com/en/players/41f0b196/Anatolii-Trubin,GK,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-345,2001,0,2.3,,2,180,https://fbref.com/en/players/41f0b196/matchlogs/2024/summary/Anatolii-Trubin-Match-Logs,90,66.7,2.0,2,90,,2.00,2,1,+0.62,+0.28,+1,2,+0.6,+3.50,+0.50,1,,1.7,,,
550,Heorhii Tsitaishvili,https://fbref.com/en/players/69986380/Heorhii-Tsitaishvili,"DF,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-236,2000,2.2,1.00,0,4,190,https://fbref.com/en/players/69986380/matchlogs/2024/summary/Heorhii-Tsitaishvili-Match-Logs,48,52.8,2.1,2,67,0,2,28,2,-3,-1.42,-1.54,5,-1.42,-5.2,-2.46,7.4,,,,,
551,Viktor Tsyhankov,https://fbref.com/en/players/f7e87032/Viktor-Tsyhankov,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,26-239,1997,0,,0,1,62,https://fbref.com/en/players/f7e87032/matchlogs/2024/summary/Viktor-Tsyhankov-Match-Logs,62,0.7,1,1,3,0,0.2,1.1,,-3,-0.8,-1.64,,23.0,62,0.00,-4.35,,-4.79,-1.19,,
552,Ľubomír Tupta,https://fbref.com/en/players/b02af64f/Lubomir-Tupta,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-106,1998,0,,0,1,12,https://fbref.com/en/players/b02af64f/matchlogs/2024/summary/Lubomir-Tupta-Match-Logs,12,0.1,3,1,0.1,0,0.3,,,,,+0.2,,3.1,12,0.00,,0,,,,+0.24
553,Oleksandr Tymchyk,https://fbref.com/en/players/3b996663/Oleksandr-Tymchyk,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,27-173,1997,2.7,1.33,0,3,199,https://fbref.com/en/players/3b996663/matchlogs/2024/summary/Oleksandr-Tymchyk-Match-Logs,66,73.7,2.2,2,90,,1,2,19,+1.34,+0.42,+1,2,+0.9,+4.26,+0.45,1,,1.7,,,
554,Deniz Undav,https://fbref.com/en/players/dd549382/Deniz-Undav,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-358,1996,0,,0,1,7,https://fbref.com/en/players/dd549382/matchlogs/2024/summary/Deniz-Undav-Match-Logs,7,0.1,3,1,1,0.0,0.2,2,0.3,-1,,-1.46,,1.5,7,,-12.86,,-14.38,-0.44,1.50,
555,Dayot Upamecano,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-258,1998,0,9.0,0,6,570,https://fbref.com/en/players/d248cd8f/matchlogs/2024/summary/Dayot-Upamecano-Match-Logs,95,100.0,6.3,6,95,,1.50,6,4,,+0.63,+1,3,+0.63,+3.8,+0.16,5.2,,,,,
556,Kacper Urbanski,https://fbref.com/en/players/2d9d9e42/Kacper-Urbanski,"FW,MF",pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,19-308,2004,4,1.6,0,3,148,https://fbref.com/en/players/2d9d9e42/matchlogs/2024/summary/Kacper-Urbanski-Match-Logs,49,1.6,1,2,2,0,1,2,3.5,-1.9,,,,54.8,72,,-1.13,,-1.19,,0.33,+2.21
557,Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,33-003,1991,0,8.0,0,6,540,https://fbref.com/en/players/e06683ca/matchlogs/2024/summary/Virgil-van-Dijk-Match-Logs,90,100.0,6.0,6,90,,1.67,6,10,,,+3,7,+0.26,+1.6,+0.50,6.4,,,,,
558,Vladyslav Vanat,https://fbref.com/en/players/7287ea6b/Vladyslav-Vanat,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-189,2002,0,,0,1,21,https://fbref.com/en/players/7287ea6b/matchlogs/2024/summary/Vladyslav-Vanat-Match-Logs,21,0.2,2,1,0.3,0,0.5,,,,+0.86,+0.2,,7.8,21,,,0,,+0.86,1.00,+0.72
559,Barnabás Varga,https://fbref.com/en/players/078a52fe/Barnabas-Varga,FW,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,30-168,1994,0,2.6,0,3,249,https://fbref.com/en/players/078a52fe/matchlogs/2024/summary/Barnabas-Varga-Match-Logs,83,92.2,2.8,3,83,,1.00,1,1,-4,-1.45,-3.94,5,-5.73,-1.0,-0.38,3.6,,,,,
560,Ruben Vargas,https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,25-341,1998,3.9,1.80,0,5,306,https://fbref.com/en/players/6ecbddf6/matchlogs/2024/summary/Ruben-Vargas-Match-Logs,61,63.8,3.4,4,70,0,1,26,5,-0.45,-0.12,+2,3,+0.30,+1.0,+0.59,2.9,,,,,
561,Denis Vavro,https://fbref.com/en/players/08990838/Denis-Vavro,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-092,1996,0,4.4,0,4,390,https://fbref.com/en/players/08990838/matchlogs/2024/summary/Denis-Vavro-Match-Logs,98,100.0,4.3,4,98,,1.00,4,4,-1,-0.23,,5,-1.4,-0.34,-0.34,5.8,,,,,
562,Joey Veerman,https://fbref.com/en/players/18fae4ac/Joey-Veerman,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-235,1998,3.6,1.67,0,6,209,https://fbref.com/en/players/18fae4ac/matchlogs/2024/summary/Joey-Veerman-Match-Logs,35,38.7,2.3,2,48,0,4,29,4,-0.11,+1.18,+1,3,+0.99,+2.3,+0.43,1.3,,,,,
563,Igor Vekič,https://fbref.com/en/players/fcc5a185/Igor-Vekic,GK,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,26-066,1998,0,0,0,0,4,https://fbref.com/en/players/fcc5a185/matchlogs/2024/summary/Igor-Vekic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
564,Miloš Veljković,https://fbref.com/en/players/a5ae8f8e/Milos-Veljkovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-289,1995,0,2.1,0,3,270,https://fbref.com/en/players/a5ae8f8e/matchlogs/2024/summary/Milos-Veljkovic-Match-Logs,90,100.0,3.0,3,90,,0.67,3,1,-1,-0.33,,2,-0.5,-0.15,,2.6,,,,,
565,Micky van de Ven,https://fbref.com/en/players/8fe2a392/Micky-van-de-Ven,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,23-083,2001,0,,0,4,70,https://fbref.com/en/players/8fe2a392/matchlogs/2024/summary/Micky-van-de-Ven-Match-Logs,18,0.8,2,4,4,,1.4,1,1.2,+0.06,+0.31,+3,,13.0,18,+0.2,,,,+3.86,2.25,+3.86
566,Benjamin Verbič,https://fbref.com/en/players/2ebc1b44/Benjamin-Verbic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,30-227,1993,0,,0,3,74,https://fbref.com/en/players/2ebc1b44/matchlogs/2024/summary/Benjamin-Verbic-Match-Logs,25,0.8,1,3,1,0,1.2,1,1.8,-0.6,0.00,,,19.0,25,,-1.19,,-0.59,,1.00,
567,Bart Verbruggen,https://fbref.com/en/players/cf134113/Bart-Verbruggen,GK,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,21-328,2002,0,8.0,0,6,540,https://fbref.com/en/players/cf134113/matchlogs/2024/summary/Bart-Verbruggen-Match-Logs,90,100.0,6.0,6,90,,1.67,6,10,,,+3,7,+0.26,+1.6,+0.50,6.4,,,,,
568,Arthur Vermeeren,https://fbref.com/en/players/722494dc/Arthur-Vermeeren,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,19-155,2005,0,0,0,0,4,https://fbref.com/en/players/722494dc/matchlogs/2024/summary/Arthur-Vermeeren-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
569,Jan Vertonghen,https://fbref.com/en/players/ba23a904/Jan-Vertonghen,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,37-078,1987,0,2.8,0.0,3,270,https://fbref.com/en/players/ba23a904/matchlogs/2024/summary/Jan-Vertonghen-Match-Logs,90,75.0,3.0,3,90,,1.33,3,1,-1.06,,+1,2,+0.01,+1.33,+0.33,1,,2.8,,,
570,Jannik Vestergaard,https://fbref.com/en/players/1900032e/Jannik-Vestergaard,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,31-343,1992,0,4.3,0,4,360,https://fbref.com/en/players/1900032e/matchlogs/2024/summary/Jannik-Vestergaard-Match-Logs,90,100.0,4.0,4,90,,0.75,4,2,-2,-0.50,,4,-0.5,-0.12,,4.8,,,,,
571,Guglielmo Vicario,https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,GK,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-278,1996,0,0,0,0,4,https://fbref.com/en/players/77d6fd4d/matchlogs/2024/summary/Guglielmo-Vicario-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
572,Domagoj Vida,https://fbref.com/en/players/3f359b33/Domagoj-Vida,"DF,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,35-073,1989,0,0,0,0,3,https://fbref.com/en/players/3f359b33/matchlogs/2024/summary/Domagoj-Vida-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
573,Žan Vipotnik,https://fbref.com/en/players/15aa23ee/Zan-Vipotnik,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,22-115,2002,0,0.0,0,1,15,https://fbref.com/en/players/15aa23ee/matchlogs/2024/summary/Zan-Vipotnik-Match-Logs,15,0.2,3,1,1,0,,0.3,,-1,-0.3,-1.19,,3.8,15,,-6.00,,-6.24,-1.80,1.00,
574,Martin Vitík,https://fbref.com/en/players/b6b6bfc4/Martin-Vitik,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,21-172,2003,0,0,0,0,3,https://fbref.com/en/players/b6b6bfc4/matchlogs/2024/summary/Martin-Vitik-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
575,Vitinha,https://fbref.com/en/players/3b029691/Vitinha,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-149,2000,0,5.2,0,4,358,https://fbref.com/en/players/3b029691/matchlogs/2024/summary/Vitinha-Match-Logs,90,70.2,4.0,4,90,,2.00,1,4,-0.71,+0.67,+3,1,+2.7,+1.35,+0.75,2.5,,,,,
576,Daniel Vivian,https://fbref.com/en/players/ab7bf91d/Daniel-Vivian,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,24-362,1999,33,1.5,0,2,123,https://fbref.com/en/players/ab7bf91d/matchlogs/2024/summary/Daniel-Vivian-Match-Logs,62,1.4,1,1,4,,1,1,0.8,,,+1,,21.6,90,+0.7,-1.08,,-0.32,+0.49,3.00,+0.73
577,Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,"MF,FW",rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,24-165,2000,1.3,0.67,0,3,177,https://fbref.com/en/players/79443529/matchlogs/2024/summary/Dusan-Vlahovic-Match-Logs,59,65.6,2.0,2,77,0,1,1,24,-1,-0.51,+0.38,1,-0.51,-0.02,,1.4,0.0,,,,
578,Nikola Vlašić,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-281,1997,0,0,0,0,1,https://fbref.com/en/players/aa8e289e/matchlogs/2024/summary/Nikola-Vlasic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
579,Tomáš Vlček,https://fbref.com/en/players/0dad7403/Tomas-Vlcek,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,23-134,2001,0,0,0,0,3,https://fbref.com/en/players/0dad7403/matchlogs/2024/summary/Tomas-Vlcek-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
580,Aster Vranckx,https://fbref.com/en/players/f86cd5df/Aster-Vranckx,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,21-281,2002,0,0,0,0,4,https://fbref.com/en/players/f86cd5df/matchlogs/2024/summary/Aster-Vranckx-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
581,Stefan de Vrij,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij,DF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,32-157,1992,0,8.0,0,6,540,https://fbref.com/en/players/d0d8dd44/matchlogs/2024/summary/Stefan-de-Vrij-Match-Logs,90,100.0,6.0,6,90,,1.67,6,10,,,+3,7,+0.26,+1.6,+0.50,6.4,,,,,
582,Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,34-044,1990,0,5.5,0,6,600,https://fbref.com/en/players/86dd77d1/matchlogs/2024/summary/Kyle-Walker-Match-Logs,100,100.0,6.7,6,100,,2.00,6,7,,+0.04,+3,4,+0.04,+0.2,+0.45,5.3,,,,,
583,Sebastian Walukiewicz,https://fbref.com/en/players/217875a4/Sebastian-Walukiewicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,24-097,2000,0,0,0,0,3,https://fbref.com/en/players/217875a4/matchlogs/2024/summary/Sebastian-Walukiewicz-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
584,Ollie Watkins,https://fbref.com/en/players/aed3a70f/Ollie-Watkins,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,28-194,1995,0,,0,2,32,https://fbref.com/en/players/aed3a70f/matchlogs/2024/summary/Ollie-Watkins-Match-Logs,16,0.4,4,2,1,0,0.3,0.5,,-0.1,,+1,,5.3,16,,-0.39,,-0.45,+2.50,2.00,+2.81
585,Wout Weghorst,https://fbref.com/en/players/c4e87b8b/Wout-Weghorst,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,31-339,1992,0,,0,6,138,https://fbref.com/en/players/c4e87b8b/matchlogs/2024/summary/Wout-Weghorst-Match-Logs,23,1.5,5,6,2,0,1.8,1.5,,,+0.22,+3,,25.6,23,+0.3,-0.05,,,+1.96,1.67,+1.96
586,Andreas Weimann,https://fbref.com/en/players/5996ffd9/Andreas-Weimann,FW,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,32-341,1991,0,0.0,0.0,1,1,https://fbref.com/en/players/5996ffd9/matchlogs/2024/summary/Andreas-Weimann-Match-Logs,1,3,0.0,1,0.0,0,,0,,,,,,0.3,1,,-0.25,0,-1.72,-1.89,3.00,
587,Adam Wharton,https://fbref.com/en/players/4b542852/Adam-Wharton,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,20-039,2004,0,0,0,0,6,https://fbref.com/en/players/4b542852/matchlogs/2024/summary/Adam-Wharton-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
588,Silvan Widmer,https://fbref.com/en/players/f68b64fc/Silvan-Widmer,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,31-128,1993,4.2,1.50,0,4,299,https://fbref.com/en/players/f68b64fc/matchlogs/2024/summary/Silvan-Widmer-Match-Logs,75,62.3,3.3,3,81,,1,1,57,-1.19,-0.49,+1,5,+0.13,+0.4,+0.30,4,,3.8,,,
589,Georginio Wijnaldum,https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,33-243,1990,0,,0,3,73,https://fbref.com/en/players/eb58eef0/matchlogs/2024/summary/Georginio-Wijnaldum-Match-Logs,24,0.8,3,3,2,,0.5,1,1.2,-0.7,,+1,,13.5,24,,-0.85,,-1.29,+0.85,1.33,+1.23
590,Nico Williams,https://fbref.com/en/players/afdc14d7/Nico-Williams,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,21-365,2002,0,8.1,,5,402,https://fbref.com/en/players/afdc14d7/matchlogs/2024/summary/Nico-Williams-Match-Logs,80,70.5,4.5,5,80,,3.00,1,1,+0.90,+1.01,+9,11,+4.5,+1.48,+2.01,2,,3.6,,,
591,Patrick Wimmer,https://fbref.com/en/players/cb11b429/Patrick-Wimmer,"FW,MF",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-042,2001,38,2.5,0,3,138,https://fbref.com/en/players/cb11b429/matchlogs/2024/summary/Patrick-Wimmer-Match-Logs,46,1.5,4,1,1,0,2,3.2,,-0.7,,+3,,38.3,62,,-0.42,,-0.96,+2.77,2.00,+1.96
592,Jonas Wind,https://fbref.com/en/players/2077ae86/Jonas-Wind,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-155,1999,2.6,0.75,0,4,193,https://fbref.com/en/players/2077ae86/matchlogs/2024/summary/Jonas-Wind-Match-Logs,48,53.6,2.1,3,61,0,1,10,2,,,+1.08,2,+0.65,+0.18,+0.4,2.2,0,,,,
593,Florian Wirtz,https://fbref.com/en/players/e7fcf289/Florian-Wirtz,"FW,MF",de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-069,2003,5.7,2.00,0,5,279,https://fbref.com/en/players/e7fcf289/matchlogs/2024/summary/Florian-Wirtz-Match-Logs,56,58.1,3.1,3,65,0,2,43,5,-1.59,+0.39,+2,3,+1.19,+3.3,+0.65,2.4,,,,,
594,Axel Witsel,https://fbref.com/en/players/5dfc6ad5/Axel-Witsel,"DF,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,35-181,1989,0,0,0,0,2,https://fbref.com/en/players/5dfc6ad5/matchlogs/2024/summary/Axel-Witsel-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
595,Maximilian Wöber,https://fbref.com/en/players/4b803b3c/Maximilian-Wober,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,26-158,1998,3.5,1.00,,3,175,https://fbref.com/en/players/4b803b3c/matchlogs/2024/summary/Maximilian-Wober-Match-Logs,58,48.6,1.9,2,74,,1,1,27,+0.39,+0.37,+1,1,+0.7,+0.51,+0.51,4,2.8,3,,,
596,Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,31-288,1992,0,6.7,0,5,480,https://fbref.com/en/players/e61b8aee/matchlogs/2024/summary/Granit-Xhaka-Match-Logs,96,100.0,5.3,5,96,,1.80,5,8,,+0.37,+4,4,+0.37,+1.8,+0.75,4.9,,,,,
597,Lamine Yamal,https://fbref.com/en/players/82ec26c1/Lamine-Yamal,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,16-364,2007,8.3,3.00,0,6,415,https://fbref.com/en/players/82ec26c1/matchlogs/2024/summary/Lamine-Yamal-Match-Logs,69,72.8,4.6,5,79,,1,1,19,+0.67,+0.93,+9,11,+4.3,+1.37,+1.95,2,,4.1,,,
598,Roman Yaremchuk,https://fbref.com/en/players/cb641b9d/Roman-Yaremchuk,FW,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,28-227,1995,26,1.2,0,3,121,https://fbref.com/en/players/cb641b9d/matchlogs/2024/summary/Roman-Yaremchuk-Match-Logs,40,1.3,1,1,0.8,0,2,,,+0.36,+0.27,+1,,44.8,69,+0.4,,0,,+2.56,1.33,+0.74
599,Andriy Yarmolenko,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko,"FW,MF",ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,34-262,1989,19,1.9,0,3,104,https://fbref.com/en/players/849c826a/matchlogs/2024/summary/Andriy-Yarmolenko-Match-Logs,35,1.2,1,1,1,0,2,0.8,,,+1.47,+1.1,,38.5,66,,,0,,+0.97,1.33,+1.08
600,Yusuf Yazıcı,https://fbref.com/en/players/f5c8b425/Yusuf-Yazici,"MF,FW",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-164,1997,0,,0,2,57,https://fbref.com/en/players/f5c8b425/matchlogs/2024/summary/Yusuf-Yazici-Match-Logs,29,0.6,3,2,1,0,1.0,1,1.5,-0.5,0.00,,,12.7,29,,-0.73,,-0.46,,1.50,
601,Bertuğ Yıldırım,https://fbref.com/en/players/7410d325/Bertug-Yildirim,FW,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,21-365,2002,0,0,0.0,0,4,https://fbref.com/en/players/7410d325/matchlogs/2024/summary/Bertug-Yildirim-Match-Logs,1,2,,,,0,,,,-1,,,,,,0.00,,,,,,
602,Kenan Yıldız,https://fbref.com/en/players/d8cda243/Kenan-Yildiz,"FW,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,19-068,2005,4.6,1.80,0,5,345,https://fbref.com/en/players/d8cda243/matchlogs/2024/summary/Kenan-Yildiz-Match-Logs,69,76.7,3.8,4,78,0,1,33,6,-1.4,-0.36,+1,5,-0.15,+1.12,+0.26,5.9,,,,,
603,Okay Yokuşlu,https://fbref.com/en/players/e49ce451/Okay-Yokuslu,"MF,DF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-124,1994,0,,0,3,55,https://fbref.com/en/players/e49ce451/matchlogs/2024/summary/Okay-Yokuslu-Match-Logs,18,0.6,2,3,1,0,1.4,1,2.1,-0.7,0.00,,,12.2,18,,-1.15,,-0.95,,2.00,
604,İsmail Yüksek,https://fbref.com/en/players/6c5af908/Ismail-Yuksek,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,25-167,1999,1.5,2.00,0,3,152,https://fbref.com/en/players/6c5af908/matchlogs/2024/summary/Ismail-Yuksek-Match-Logs,51,33.8,1.7,2,60,0,1,33,1,-0.7,-0.44,+2,2,-0.18,+1.79,+1.18,2.2,,,,,
605,Illia Zabarnyi,https://fbref.com/en/players/88968486/Illia-Zabarnyi,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,21-314,2002,0,3.0,0,3,270,https://fbref.com/en/players/88968486/matchlogs/2024/summary/Illia-Zabarnyi-Match-Logs,90,100.0,3.0,3,90,,1.33,3,2,-2,-0.67,+0.2,4,,,+0.07,2.8,,,,,
606,Mattia Zaccagni,https://fbref.com/en/players/d85c238b/Mattia-Zaccagni,"MF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-025,1995,0,,0,3,82,https://fbref.com/en/players/d85c238b/matchlogs/2024/summary/Mattia-Zaccagni-Match-Logs,27,0.9,1,3,1,0,0.9,1,0.7,,+0.72,+0.2,,22.8,27,,,,,+0.21,0.33,+0.65
607,Warren Zaïre-Emery,https://fbref.com/en/players/6b9960cf/Warren-Zaire-Emery,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,18-125,2006,0,0,0,0,6,https://fbref.com/en/players/6b9960cf/matchlogs/2024/summary/Warren-Zaire-Emery-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
608,Denis Zakaria,https://fbref.com/en/players/384d58d9/Denis-Zakaria,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,27-234,1996,0,,0,1,23,https://fbref.com/en/players/384d58d9/matchlogs/2024/summary/Denis-Zakaria-Match-Logs,23,0.3,2,1,0.1,0,0.3,,,,,+0.2,,4.8,23,,-0.79,0,,,1.00,
609,Nicola Zalewski,https://fbref.com/en/players/45191c29/Nicola-Zalewski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,22-170,2002,0,3.2,0,3,247,https://fbref.com/en/players/45191c29/matchlogs/2024/summary/Nicola-Zalewski-Match-Logs,82,91.5,2.7,3,82,,0.33,2,2,-4,-1.46,-3.33,6,-5.37,-2.4,-0.88,5.6,,,,,
610,Adrian Zeljković,https://fbref.com/en/players/b0186b1d/Adrian-Zeljkovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,21-327,2002,0,0,0,0,4,https://fbref.com/en/players/b0186b1d/matchlogs/2024/summary/Adrian-Zeljkovic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
611,Cedric Zesiger,https://fbref.com/en/players/2bab583c/Cedric-Zesiger,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,26-017,1998,0,0,0,0,5,https://fbref.com/en/players/2bab583c/matchlogs/2024/summary/Cedric-Zesiger-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
